"";"Species";"MaxLength";"Type";"EstMaxLengthTL";"EstMaxLengthSL";"FB_Val";"OE";"FMorph"
"1";"Dajaus monticola";36;"TL";36;29,52;29,52;"Estimated_FB";"36"
"2";"Algansea aphanea";NA;NA;12,32;10,1;NA;NA;NA
"3";"Algansea monticola";NA;NA;12,32;10,1;NA;NA;NA
"4";"Algansea tincella";NA;NA;12,32;10,1;NA;NA;NA
"5";"Allodontichthys hubbsi";6;"TL";6;4,92;4,92;"Estimated_FB";"6"
"6";"Allodontichthys polylepis";4,5;"SL";6,1;5;4,5;"Observed_FB";"5"
"7";"Allodontichthys zonistius";4,5;"SL";6,05;5;4,5;"Observed_FB";"5"
"8";"Alloophorus robustus";12;"TL";12;9,84;9,84;"Estimated_FB";"12"
"9";"Allotoca catarinae";5;"TL";5,39;4,36;4,36;"Estimated_FB";"8"
"10";"Allotoca diazi";10;"TL";5,39;4,42;4,42;"Estimated_FB";"12"
"11";"Allotoca dugesii";6,5;"TL";6,5;5,33;5,33;"Estimated_FB";"6.5"
"12";"Allotoca goslinei";6;"TL";6;4,92;4,92;"Estimated_FB";"6"
"13";"Allotoca maculata";6,5;"TL";5,39;4,42;4,42;"Estimated_FB";"8"
"14";"Amatitlania nigrofasciata";10;"SL";12,2;10;10;"Observed_FB";"10"
"15";"Astatotilapia burtoni";15;"SL";18,3;15;15;"Observed_FB";"15"
"16";"Astyanax aeneus";7,5;"SL";14,64;12;7,5;"Observed_FB";"12"
"17";"Astyanax mexicanus";12;"TL";12;9,84;9,84;"Estimated_FB";"12"
"18";"Ataeniobius toweri";7;"TL";10;5,89;5,89;"Estimated_FB";"10"
"19";"Chapalichthys encaustus";6;"TL";8;6,56;6,56;"Estimated_FB";"8"
"20";"Chapalichthys pardalis";6;"TL";7;5,74;5,74;"Estimated_FB";"7"
"21";"Characodon lateralis";4;"TL";5,5;3,44;3,44;"Estimated_FB";"6"
"22";"Chirostoma arge";NA;NA;17,38;14,25;NA;NA;NA
"23";"Chirostoma chapalae";14;"TL";14;11,48;11,48;"Estimated_FB";"14"
"24";"Chirostoma riojai";NA;NA;17,38;14,25;NA;NA;NA
"25";"Cichlasoma istlanum";30;"TL";30;24,6;24,6;"Estimated_FB";"30"
"26";"Cyprinodon meeki";5;"TL";5;4,1;4,1;"Estimated_FB";"5"
"27";"Cyprinus carpio";120;"TL";120;98,16;98,16;"Estimated_FB";"120"
"28";"Gambusia senilis";5,5;"TL";5,5;4,51;4,51;"Estimated_FB";"6"
"29";"Gambusia yucatana";5,5;"TL";8;6,56;6,56;"Estimated_FB";"8"
"30";"Girardinichthys multiradiatus";3,5;"TL";5;4,1;4,1;"Estimated_FB";"5"
"31";"Girardinichthys viviparus";6,5;"TL";6,5;5,33;5,33;"Estimated_FB";"6.5"
"32";"Gobiesox fluviatilis";5,90000009536743;"SL";7,2;5,9;5,90000009536743;"Observed_FB";"6"
"33";"Goodea atripinnis";13;"TL";13;11,08;11,08;"Estimated_FB";"13"
"34";"Hubbsina turneri";5;"TL";6,86;5,63;5,63;"Estimated_FB";"6"
"35";"Ictalurus dugesii";NA;NA;98,21;80,53;NA;NA;NA
"36";"Ilyodon furcidens";7;"TL";9;7,38;7,38;"Estimated_FB";"9"
"37";"Ilyodon whitei";6;"TL";7,64;6,26;6,26;"Estimated_FB";"7"
"38";"Lepomis macrochirus";41;"TL";41;33,62;33,62;"Estimated_FB";"41"
"39";"Mayaheros beani";30;"TL";30;24,6;24,6;"Estimated_FB";"30"
"40";"Micropterus salmoides";97;"TL";97;84;84;"Estimated_FB";"97"
"41";"Nosferatu bartoni";18;"SL";21,96;18;18;"Observed_FB";"18"
"42";"Nosferatu labridens";25;"SL";30,5;25;25;"Observed_FB";"25"
"43";"Notropis amecae";4,1399998664856;"SL";5,05;4,14;4,1399998664856;"Observed_FB";"4.14"
"44";"Notropis calientis";NA;NA;7,96;6,53;NA;NA;NA
"45";"Oreochromis aureus";45,7000007629395;"TL";45,7;37,47;37,47;"Estimated_FB";"46"
"46";"Oreochromis mossambicus";39;"SL";47,58;39;39;"Observed_FB";"39"
"47";"Oreochromis niloticus";60;"SL";73,2;60;60;"Observed_FB";"64"
