Species;MaxLength;Type;EstMaxLengthTL;EstMaxLengthSL;FB_Val;OE;FMorph;Miller;Final;Cat
Dajaus monticola;36;TL;36;29,52;29,52;Estimated_FB;36;36.5;36.5;M
Algansea aphanea;NA;NA;12,32;10,1;NA;NA;NA;8.6;8.6;M
Algansea monticola;NA;NA;12,32;10,1;NA;NA;NA;7.6;7.6;M
Algansea tincella;NA;NA;12,32;10,1;NA;NA;NA;17.5;17.5;M
Allodontichthys hubbsi;6;TL;6;4,92;4,92;Estimated_FB;6;6.1;6.1;M
Allodontichthys polylepis;4,5;SL;6,1;5;4,5;Observed_FB;5;5;5;M
Allodontichthys zonistius;4,5;SL;6,05;5;4,5;Observed_FB;5;6.3;6.3;M
Alloophorus robustus;12;TL;12;9,84;9,84;Estimated_FB;12;14.3 (H);14.3;M
Allotoca catarinae;5;TL;5,39;4,36;4,36;Estimated_FB;8;7;7;M
Allotoca diazi;10;TL;5,39;4,42;4,42;Estimated_FB;12;8.3;8.3;M
Allotoca dugesii;6,5;TL;6,5;5,33;5,33;Estimated_FB;6.5;6.3;6.3;M
Allotoca goslinei;6;TL;6;4,92;4,92;Estimated_FB;6;5;5;M
Allotoca maculata;6,5;TL;5,39;4,42;4,42;Estimated_FB;8;4.8;4.8;M
Amatitlania nigrofasciata;10;SL;12,2;10;10;Observed_FB;10;NA;10;O_FB
Astatotilapia burtoni;15;SL;18,3;15;15;Observed_FB;15;NA;15;O_FB
Astyanax aeneus;7,5;SL;14,64;12;7,5;Observed_FB;12;14;14;M
Astyanax mexicanus;12;TL;12;9,84;9,84;Estimated_FB;12;10;10;M
Ataeniobius toweri;7;TL;10;5,89;5,89;Estimated_FB;10;7.6;7.6;M
Chapalichthys encaustus;6;TL;8;6,56;6,56;Estimated_FB;8;9.3(H);9.3;M
Chapalichthys pardalis;6;TL;7;5,74;5,74;Estimated_FB;7;8.5;8.5;M
Characodon lateralis;4;TL;5,5;3,44;3,44;Estimated_FB;6;6.3;6.3;M
Chirostoma arge;NA;NA;17,38;14,25;NA;NA;NA;6.9;6.9;M
Chirostoma chapalae;14;TL;14;11,48;11,48;Estimated_FB;14;9.3;11.5;E_FB
Chirostoma riojai;NA;NA;17,38;14,25;NA;NA;NA;8.3;8.3;M
Cichlasoma istlanum;30;TL;30;24,6;24,6;Estimated_FB;30;16.9;24.6;E_FB
Cyprinodon meeki;5;TL;5;4,1;4,1;Estimated_FB;5;4.9;4.9;M
Cyprinus carpio;120;TL;120;98,16;98,16;Estimated_FB;120;NA;98.2;E_FB
Gambusia senilis;5,5;TL;5,5;4,51;4,51;Estimated_FB;6;4.6;4.6;M
Gambusia yucatana;5,5;TL;8;6,56;6,56;Estimated_FB;8;4.3;6.6;E_FB
Girardinichthys multiradiatus;3,5;TL;5;4,1;4,1;Estimated_FB;5;5.5;5.5;M
Girardinichthys viviparus;6,5;TL;6,5;5,33;5,33;Estimated_FB;6.5;6.5;6.5;M
Gobiesox fluviatilis;5,90000009536743;SL;7,2;5,9;5,90000009536743;Observed_FB;6;10.9(M);10.9;M
Goodea atripinnis;13;TL;13;11,08;11,08;Estimated_FB;13;20;20;M
Hubbsina turneri;5;TL;6,86;5,63;5,63;Estimated_FB;6;5.8;5.8;M
Ictalurus dugesii;NA;NA;98,21;80,53;NA;NA;NA;100;100;M
Ilyodon furcidens;7;TL;9;7,38;7,38;Estimated_FB;9;10.3;10.3;M
Ilyodon whitei;6;TL;7,64;6,26;6,26;Estimated_FB;7;10.1;10.1;M
Lepomis macrochirus;41;TL;41;33,62;33,62;Estimated_FB;41;28;33.6;E_FB
Micropterus salmoides;97;TL;97;84;84;Estimated_FB;97;65;84;E_FB
Notropis amecae;4,1399998664856;SL;5,05;4,14;4,1399998664856;Observed_FB;4.14;4.1;4.1;M
Notropis calientis;NA;NA;7,96;6,53;NA;NA;NA;6;6;M
Oreochromis aureus;45,7000007629395;TL;45,7;37,47;37,47;Estimated_FB;46;NA;37.5;E_FB
Oreochromis mossambicus;39;SL;47,58;39;39;Observed_FB;39;NA;39;O_FB
Oreochromis niloticus;60;SL;73,2;60;60;Observed_FB;64;NA;60;O_FB
Poecilia butleri;7;TL;8;6,56;6,56;Estimated_FB;8;9.3;9.3;M
Poecilia mexicana;11;SL;13,42;11;11;Observed_FB;11;9.5;11;O_FB
Poecilia reticulata;5;SL;7,32;6;5;Observed_FB;6;NA;5;O_FB
Poecilia sphenops;7,5;SL;9,15;7,5;7,5;Observed_FB;10;8.4;8.4;M
Poeciliopsis balsas;3,5;TL;6,49;5,32;5,32;Estimated_FB;6;4.3;5.3;E_FB
Poeciliopsis gracilis;9;TL;9;7,38;7,38;Estimated_FB;9;7.3;7.4;E_FB
Poeciliopsis infans;3,5;TL;6,49;5,32;5,32;Estimated_FB;5;6.8;6.8;M
Poeciliopsis turrubarensis;4;TL;6,49;5,32;5,32;Estimated_FB;8;7.4;7.4;M
Poeciliopsis viriosa;3,5;TL;6,49;5,32;5,32;Estimated_FB;6;4.6;5.3;E_FB
Pomoxis nigromaculatus;49;TL;49;40,18;40,18;Estimated_FB;49;NA;40.2;E_FB
Skiffia bilineata;4;TL;6;4,92;4,92;Estimated_FB;6;4.2;4.9;E_FB
Tampichthys dichroma;NA;NA;7,67;6,29;NA;NA;NA;6.5;6.5;M
Tampichthys mandibularis;5,19999980926514;SL;6,34;5,2;5,19999980926514;Observed_FB;5.2;5.8;5.8;M
Xenoophorus captivus;5;TL;6;4,92;4,92;Estimated_FB;6;6.6;6.6;M
Xenotoca eiseni;6;TL;7;5,38;5,38;Estimated_FB;7;7.5;7.5;M
Xenotoca melanosoma;8;TL;8;6,56;6,56;Estimated_FB;8;8.5;8.5;M
Xenotoca variata;6;TL;7;5,74;5,74;Estimated_FB;7;9(H);9;M
Xiphophorus hellerii;14;TL;16;13,12;13,12;Estimated_FB;16;7.8;13.1;E_FB
Xiphophorus maculatus;4;TL;6;4,92;4,92;Estimated_FB;6;4.5;4.9;E_FB
Yuriria alta;NA;NA;19,35;15,87;NA;NA;NA;20;20;M
Zoogoneticus quitzeoensis;3,5;TL;4,5;3,69;3,69;Estimated_FB;4;5.7;5.7;M
Mayaheros beani;30;TL;30;24,6;24,6;Estimated_FB;30;21.2;24.6;E_FB
