"","Trip","Month","Year","SiteName","DrainageBasin","SiteNameII","Latitude","Longitude","CatalogNumbers","FieldNumbers","Collectors","HistoricalNatCatalog","CountHistNatCatalog","HistoricalNatBroad","CountHistNatBroad","AddedHistNat(B-C)","HistoricalExotics","DateCollected","NumberCollections","NativeFound2005","CountNat2005","NonExpectedNat?","NonExpectedNat","SameRichness","ExoticsFound2005","CountNonNat2005","RatioFound/Expected","Anectodics","Extint/ExtirpatedInLoc","Comments","SiteType","DrainageBasinE","SiteNameE"
"1",1,"01",2005,"arroyo El Conejo","rio Purificacion","Arroyo El Conejo en Rancho El Conejo",19.55,-104.46,"UMMZ 230525","UMMZ - J*L86-6 ","John Lyons","P. baenschi, S. multipunctatum, X. resolanae","3","P. baenschi, P. turneri, S. multipunctatum, X. resolanae","4","1",NA,"1986",1,"P. baenschi, P. turneri, X. resolanae","3",1,"1",NA,"O. mossambicus","1","0.75","S. multipunctatum",NA,"Sicydium dificil de hallar sin electropescar","Stream","Purificacion River","El Conejo Stream"
"2",1,"01",2005,"rio Amborin","rio Purificacion","Rio Amborin",19.67,-104.58,"UMMZ 160927","UMMZ - JRA49-8320 ","JR Alcorn","P. baenschi, P. turneri, X. resolanae","3","P. baenschi, P. turneri, P.cf. butleri, S. multipunctatum, X. resolanae","5","2",NA,"1949",1,"P. baenschi, P. turneri, P. cf. butleri, S. multipunctatum, X. resolanae","5",2,"2",NA,NA,"0","1",NA,NA,"Parece raro que P. butleri no fuera colectada antes","Stream","Purificacion River","Amborin River"
"3",1,"01",2005,"rio Higuerilla","rio Cuitzmala","Rio Higuerilla",19.56,-104.78,"UMMZ 178371","UMMZ - RRM57-31 ","RR Miller","P. baenschi, P. chica, X. resolanae","3","P. baenschi, P. chica, P. cf. butleri, X. resolanae","4","1",NA,"1957",1,"P. baenschi, P. cf. butleri","2",1,"1",NA,"O. mossambicus","1","0.5",NA,NA,"P. butleri ha sido colectada cerca pero no en la localidad. Parece raro que no haya sido encontrada, pues suele ser comun o abundante.","Stream","Cuitzmala River","Higuerilla River"
"4",1,"01",2005,"rio La Eca","rio Cuitzmala","Rio La Eca en La Eca",19.8,-104.73,"UMMZ 160926 (por aproximacion)","UMMZ - JRA49-8320 ","JR Alcorn","P. baenschi, P. turneri, X. resolanae","3","P. baenschi, P. turneri, S. multipunctatum, X. resolanae","4","1",NA,"1949",1,"P. baenschi, S. multipunctatum, X. resolanane","3",1,"1",NA,NA,"0","0.75",NA,NA,NA,"Stream","Cuitzmala River","La Eca River"
"5",1,"01",2005,"rio Minatitlan en La Loma","rio Cihuatlan","Rio Minatitlan en La Loma",19.48,-104.05,"UMMZ 230528","UMMZ - J*L86-14 ","John Lyons","I. furcidens, S. multipunctatum, X. resolanae","3","I. furcidens, S. multipunctatum, X. resolanae","3","0",NA,"1986",1,"I. furcidens, S. multipunctatum, X. resolanae","3",0,"–","1",NA,"0","1",NA,NA,NA,"Stream","Cihuatlan River","Minatitlan River at La Loma"
"7",1,"01",2005,"rio El Huizcolote","rio Cihuatlan","Rio en El Huizcolote",19.27,-104.29,"UMMZ 166456","UMMZ - IJC53-4 ","IJ Cantrall","A. monticola, I. furcidens, P. baenschi, S. multipunctatum","4","A. monticola, I. furcidens, P. baenschi, P. cf. butleri, S. multipunctatum, X. resolanae","6","2",NA,"1953",1,"I. furcidens, P. cf. butleri, X. resolanae","3",2,"2",NA,"O. mossambicus","1","0.5",NA,NA,NA,"Stream","Cihuatlan River","El Huizcolote River"
"8",2,"02",2005,"Laguna Zempoala","alto Lerma","Laguna Zempoala",19.05,-99.31,"USNM 197896 / UMMZ 189604, 198822, 180080","USNM - 197896 / UMMZ - RRM70-18 / UMMZ - RRM76-23 / UMMZ - Z180080","Deanstock, RR Miller, RR Miller, EH Taylor","G. multiradiatus","1","G. multiradiatus","1","0",NA,"1963 / 1970 / 1976 / 1980",4,"G. multiradiatus","1",0,"–","1","C. carpio","1","1",NA,NA,NA,"Shallow lake","Upper Lerma","Zempoala Lagoon"
"9",2,"02",2005,"P. Ignacio Ramirez","alto Lerma","Presa Ignacio Ramirez",19.46,-99.78,"UMMZ 192376","UMMZ - CDB69-74","Clyde Barbour","G. multiradiatus","1","G. multiradiatus, M. riojai","2","1",NA,"1969",1,"G. multiradiatus, M. riojai","2",1,"1",NA,"C. carpio","1","1","trucha arcoiris, 'juiles'",NA,NA,"Reservoir","Upper Lerma","Ignacio Ramirez Reservoir"
"11",2,"02",2005,"rio Lerma cerca de Solis","alto Lerma","Rio Lerma cerca de Solis",20.06,-100.15,"UMMZ 192380","UMMZ - CDB69-76","Clyde Barbour","G. multiradiatus","1","G. multiradiatus","1","0",NA,"1969",1,"G. multiradiatus","1",0,"–","1",NA,"0","1",NA,NA,NA,"Stream","Upper Lerma","Lerma River close to Solis"
"13",2,"02",2005,"rio Tilostoc","alto Lerma","Rio Tilostoc en El Salitre",19.4,-100.08,"UMMZ 201551","UMMZ - MLS77-6 ","ML Smith","A. sallaei, G. multiradiatus, Menidia sp.","3","A. sallaei, G. multiradiatus, Menidia sp.","3","0",NA,"1977",NA,"G. multiradiatus","1",0,"–","1","H. jonesii","1","0.33333333333333331",NA,NA,NA,"Stream","Upper Lerma","Tilostoc River"
