"Genus_species","Previous","Updated","Regional_Status","Comment","Authority","IUCN_Status","Family"
"Algansea aphanea","Algansea aphanea","no","Extirpated",NA,"Algansea aphanea Barbour & Miller, 1978","Endangered","Leuciscidae"
"Algansea monticola","Algansea monticola","no","Extirpated",NA,"Algansea monticola Barbour & Contreras-Balderas, 1968","Near Threatened","Leuciscidae"
"Algansea popoche","Algansea popoche","no","Extirpated",NA,"Algansea popoche (Jordan & Snyder, 1899)","Endangered","Leuciscidae"
"Algansea tincella","Algansea tincella","no","Native",NA,"Algansea tincella (Valenciennes, 1844)","Least Concern","Leuciscidae"
"Allodontichthys hubbsi","Allodontichthys hubbsi","no","Extirpated",NA,"Allodontichthys hubbsi Miller & Uyeno, 1980","Endangered","Goodeidae"
"Allodontichthys polylepis","Allodontichthys polylepis","no","Extirpated",NA,"Allodontichthys polylepis Rauchenberger, 1988","Critically Endangered","Goodeidae"
"Allodontichthys tamazulae","Allodontichthys tamazulae","no","Native",NA,"Allodontichthys tamazulae Turner, 1946","Vulnerable","Goodeidae"
"Allodontichthys zonistius","Allodontichthys zonistius","no","Native",NA,"Allodontichthys zonistius (Hubbs, 1932)","Vulnerable","Goodeidae"
"Alloophorus robustus","Alloophorus robustus","no","Native",NA,"Alloophorus robustus (Bean, 1892)","Vulnerable","Goodeidae"
"Allotoca catarinae","Allotoca catarinae","no","Native",NA,"Allotoca catarinae (de Buen, 1942)","Critically Endangered","Goodeidae"
"Allotoca diazi","Allotoca diazi","no","Native",NA,"Allotoca diazi (Meek, 1902)","Critically Endangered","Goodeidae"
"Allotoca dugesii","Allotoca dugesii","no","Native",NA,"Allotoca dugesii (Bean, 1887)","Endangered","Goodeidae"
"Allotoca goslinei","Allotoca goslinei","no","Extirpated",NA,"Allotoca goslinei Smith & Miller, 1987","Extinct in the Wild","Goodeidae"
"Allotoca maculata","Allotoca maculata","no","Native",NA,"Allotoca maculata Smith & Miller, 1980","Critically Endangered","Goodeidae"
"Allotoca meeki","Allotoca meeki","no","Native","Said to NOT be found in 2005 in paper 2018","Allotoca meeki (Álvarez, 1959)","Critically Endangered","Goodeidae"
"Allotoca zacapuensis","Allotoca zacapuensis","no","Extirpated",NA,"Allotoca zacapuensis Meyer, Radda & Domínguez-Domínguez, 2001","Critically Endangered","Goodeidae"
"Amatitlania nigrofasciata","Archocentrus nigrofasciatus","yes","Introduced",NA,"Amatitlania nigrofasciata (Günther, 1867)","Data Deficient","Cichlidae"
"Ameca splendens","Ameca splendens","no","Native",NA,"Ameca splendens Miller & Fitzsimons, 1971","Critically Endangered","Goodeidae"
"Amphilophus istlanus","Cichlasoma istlanum","yes","Native","Said to NOT be found in 2005 in paper 2018","Amphilophus istlanus (Jordan & Snyder, 1899)","Least Concern","Cichlidae"
"Astatotilapia burtoni","Haplochromis burtoni","yes","Introduced",NA,"Astatotilapia burtoni (Günther, 1894)","Least Concern","Cichlidae"
"Astyanax aeneus","Astyanax aeneus","no","Native",NA,"Astyanax aeneus (Günther, 1860)","Least Concern","Characidae"
"Astyanax mexicanus","Astyanax fasciatus","yes","Native",NA,"Astyanax mexicanus (De Filippi, 1853)","Least Concern","Characidae"
"Astyanax sp","Astyanax sp","no","Native",NA,"Astyanax sp Baird & Girard, 1854",NA,"Characidae"
"Ataeniobius toweri","Ataeniobius toweri","no","Native",NA,"Ataeniobius toweri (Meek, 1904)","Endangered","Goodeidae"
"Atherinella balsana","Atherinella balsana","no","Extirpated",NA,"Atherinella balsana (Meek, 1902)","Data Deficient","Atherinopsidae"
"Aztecula sallaei","Aztecula sallaei","no","Extirpated",NA,"Aztecula sallaei (Günther, 1868)","Least Concern","Leuciscidae"
"Carassius auratus","Carassius auratus","no","Introduced",NA,"Carassius auratus (Linnaeus, 1758)","Least Concern","Cyprinidae"
"Chapalichthys encaustus","Chapalichthys encaustus","no","Native",NA,"Chapalichthys encaustus (Jordan & Snyder, 1899)","Vulnerable","Goodeidae"
