"Order","Family","Authority","Previous","Updated","Regional_Status","Comment"
"Cypriniformes","Leuciscidae","Algansea aphanea Barbour & Miller, 1978","Algansea aphanea","no","Native",NA
"Cypriniformes","Leuciscidae","Algansea monticola Barbour & Contreras-Balderas, 1968","Algansea monticola","no","Native",NA
"Cypriniformes","Leuciscidae","Algansea popoche (Jordan & Snyder, 1899)","Algansea popoche","no","Native",NA
"Cypriniformes","Leuciscidae","Algansea tincella (Valenciennes, 1844)","Algansea tincella","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allodontichthys hubbsi Miller & Uyeno, 1980","Allodontichthys hubbsi","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allodontichthys polylepis Rauchenberger, 1988","Allodontichthys polylepis","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allodontichthys tamazulae Turner, 1946","Allodontichthys tamazulae","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allodontichthys zonistius (Hubbs, 1932)","Allodontichthys zonistius","no","Native",NA
"Cyprinodontiformes","Goodeidae","Alloophorus robustus (Bean, 1892)","Alloophorus robustus","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allotoca catarinae (de Buen, 1942)","Allotoca catarinae","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allotoca diazi (Meek, 1902)","Allotoca diazi","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allotoca dugesii (Bean, 1887)","Allotoca dugesii","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allotoca goslinei Smith & Miller, 1987","Allotoca goslinei","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allotoca maculata Smith & Miller, 1980","Allotoca maculata","no","Native",NA
"Cyprinodontiformes","Goodeidae","Allotoca zacapuensis Meyer, Radda & Domínguez-Domínguez, 2001","Allotoca zacapuensis","no","Native",NA
"Cichliformes","Cichlidae","Amatitlania nigrofasciata (Günther, 1867)","Archocentrus nigrofasciatus","yes","Introduced",NA
"Cichliformes","Cichlidae","Amphilophus istlanus (Jordan & Snyder, 1899)","Cichlasoma istlanum","yes","Native",NA
"Perciformes","Cichlidae","Astatotilapia burtoni (Günther, 1894)","Haplochromis burtoni","yes","Introduced",NA
"Characiformes","Characidae","Astyanax aeneus (Günther, 1860)","Astyanax aeneus","no","Native",NA
"Characiformes","Characidae","Astyanax mexicanus (De Filippi, 1853)","Astyanax fasciatus","yes","Native",NA
"Cyprinodontiformes","Goodeidae","Ataeniobius toweri (Meek, 1904)","Ataeniobius toweri","no","Native",NA
"Atheriniformes","Atherinopsidae","Atherinella balsana (Meek, 1902)","Atherinella balsana","no","Native",NA
"Cypriniformes","Leuciscidae","Aztecula sallaei (Günther, 1868)","Aztecula sallaei","no","Native",NA
"Cyprinodontiformes","Goodeidae","Chapalichthys encaustus (Jordan & Snyder, 1899)","Chapalichthys encaustus","no","Native",NA
"Cyprinodontiformes","Goodeidae","Chapalichthys pardalis Álvarez, 1963","Chapalichthys pardalis","no","Native",NA
"Cyprinodontiformes","Goodeidae","Characodon audax Smith & Miller, 1986","Characodon audax","no","Native",NA
"Cyprinodontiformes","Goodeidae","Characodon lateralis Günther, 1866","Characodon lateralis","no","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma aculeatum Barbour, 1973","Menidia aculeata","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma arge (Jordan & Snyder, 1899)","Menidia arge","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma chapalae Jordan & Snyder, 1899","Menidia chapalae","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma charari (de Buen, 1945)","Menidia charari","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma consocium Jordan & Hubbs, 1919","Menidia consocia","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma humboldtianum (Valenciennes, 1835)","Menidia humboldtiana","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma jordani Woolman, 1894","Menidia jordani","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma labarcae Meek, 1902","Menidia labarcae","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma mezquital Meek, 1904","Menidia mezquital","yes","Native",NA
"Atheriniformes","Atherinopsidae","Chirostoma riojai Solórzano & López, 1966","Menidia riojai","yes","Native",NA
"Cyprinodontiformes","Cyprinodontidae","Cyprinodon meeki Miller, 1976","Cyprinodon meeki","no","Native",NA
"Cypriniformes","Cyprinidae","Cyprinus carpio Linnaeus, 1758","Cyprinus carpio","no","Introduced",NA
"Mugiliformes","Mugilidae","Dajaus monticola (Bancroft, 1834)","Agonostomus monticola","yes","Native",NA
"Cyprinodontiformes","Poeciliidae","Gambusia senilis Girard, 1859","Gambusia senilis","no","Native",NA
"Cyprinodontiformes","Poeciliidae","Gambusia yucatana Regan, 1914","Gambusia yucatana","no","Introduced",NA
"Cypriniformes","Cyprinidae","Gila Baird & Girard, 1853","Gila sp","no","Native",NA
"Cyprinodontiformes","Goodeidae","Girardinichthys multiradiatus (Meek, 1904)","Girardinichthys multiradiatus","no","Native",NA
"Cyprinodontiformes","Goodeidae","Girardinichthys viviparus (Bustamante, 1837)","Girardinichthys viviparus","no","Native",NA
"Perciformes","Gobiesocidae","Gobiesox fluviatilis Briggs & Miller, 1960","Gobiesox fluviatilis","no","Native",NA
"Cyprinodontiformes","Goodeidae","Goodea atripinnis Jordan, 1880","Goodea atripinnis","no","Native",NA
"Perciformes","Cichlidae","Herichthys bartoni (Bean, 1892)","Cichlasoma bartoni","yes","Native",NA
"Perciformes","Cichlidae","Herichthys labridens (Pellegrin, 1903)","Cichlasoma labridens","yes","Native",NA
"Cyprinodontiformes","Goodeidae","Hubbsina turneri de Buen, 1940","Hubbsina turneri","no","Native",NA
"Siluriformes","Ictaluridae","Ictalurus dugesii (Bean, 1880)","Ictalurus dugesii","no","Native",NA
"Siluriformes","Ictaluridae","Ictalurus mexicanus (Meek, 1904)","Ictalurus mexicanus","no","Native",NA
"Cyprinodontiformes","Goodeidae","Ilyodon furcidens (Jordan & Gilbert, 1882)","Ilyodon furcidens","no","Native",NA
"Cyprinodontiformes","Goodeidae","Ilyodon whitei (Meek, 1904)","Ilyodon whitei","no","Native",NA
"Perciformes","Centrarchidae","Lepomis macrochirus Rafinesque, 1819","Lepomis macrochirus","no","Introduced",NA
"Cichliformes","Cichlidae","Mayaheros beani (Jordan, 1889)","Cichlasoma beani","yes","Native",NA
"Perciformes","Centrarchidae","Micropterus salmoides (Lacepède, 1802)","Micropterus salmoides","no","Introduced",NA
"Cypriniformes","Catostomidae","Moxostoma austrinum Bean, 1880","Scartomyzon austrinus","yes","Native",NA
"Cypriniformes","Leuciscidae","Notropis amecae Chernoff & Miller, 1986","Notropis amecae","no","Native",NA
"Cypriniformes","Leuciscidae","Notropis boucardi (Günther, 1868)","Hybopsis boucardi","yes","Native",NA
"Cypriniformes","Leuciscidae","Notropis calientis Jordan & Snyder, 1899","Hybopsis calientis","yes","Native",NA
"Perciformes","Cichlidae","Oreochromis aureus (Steindachner, 1864)","Oreochromis aureus","no","Introduced",NA
"Perciformes","Cichlidae","Oreochromis mossambicus (Peters, 1852)","Oreochromis mossambicus","no","Introduced",NA
"Perciformes","Cichlidae","Oreochromis niloticus (Linnaeus, 1758)","Oreochromis niloticus","no","Introduced",NA
