"","Trip","Month","Year","SiteName","DrainageBasin","SiteNameII","Latitude","Longitude","CatalogNumbers","FieldNumbers","Collectors","HistoricalNatCatalog","CountHistNatCatalog","HistoricalNatBroad","CountHistNatBroad","AddedHistNat(B-C)","HistoricalExotics","DateCollected","NumberCollections","NativeFound2005","CountNat2005","NonExpectedNat?","NonExpectedNat","SameRichness","ExoticsFound2005","CountNonNat2005","RatioFound/Expected","Anectodics","Extint/ExtirpatedInLoc","Comments","SiteType","DrainageBasinE","SiteNameE"
"6",3,"03",2005,"Texcoco 1","de Mexico","Texcoco 1",19.35,-98.95,"UMMZ 163008","-","?","G. viviparus","1","G. viviparus","1","0",NA,"1949",NA,"son aguas negras","-",0,"–",NA,NA,"-","-",NA,"G. viviparus","No incluida en el conjunto final de 56","Not habitable","Valley of Mexico","Texcoco 1"
"71",3,"03",2005,"Texcoco 2","de Mexico","Texcoco 2",19.45,-98.92,"UMMZ 132730","-","CB Jordan","G. viviparus","1","G. viviparus","1","0",NA,"1935",NA,"son aguas negras","-",0,"–",NA,NA,"-","-",NA,"G. viviparus","No incluida en el conjunto final de 56","Not habitable","Valley of Mexico","Texcoco 2"
"84",3,"03",2005,"Teotihuacan","de Mexico","Arroyo en Teotihuacan",19.67,-98.85,"UMMZ 201546","-","ML Smith","A. tincella, G. viviparus","2","A. tincella, G. viviparus","2","0",NA,"1977",NA,"nada, no hay vida acuática","-",0,"–",NA,NA,"-","-",NA,"G. viviparus?","No incluida en el conjunto final de 56","Not habitable","Valley of Mexico","Teotihuacan"
"151",6,"07",2005,"manantial en Cerro Gordo","rio San Pedro Mezquital","manantial en Cerro Gordo",23.94,-104.27,"UMMZ 211096","-","RR Miller et al","C. lateralis","1","C. lateralis","1","0",NA,"1982",NA,"ya no existe","-",0,"–",NA,NA,"-","-",NA,NA,"No incluida en el conjunto final de 56","Not habitable","San Pedro Mezquital River","Unnamed spring at Cerro Gordo"
"17",8,"10",2005,"manantial El Sacristan","rio Gde. de Santiago","Manantial El Sacristan",21.52,-104.9,"UMMZ 172243","-","RR Miller et al","A. monticola, C. beani, P. viriosa, X. eiseni","4","A. monticola, C. beani, P. viriosa, X. eiseni","4","0",NA,"1955",NA,"ya no existe","-",0,"–",NA,NA,"-","-",NA,NA,"No incluida en el conjunto final de 56","Not habitable","Grande de Santiago River","El Sacristan Spring"
"211",11,"11",2005,"trib. del rio Lerma en Tanhuato","bajo Lerma","tributario del rio Lerma en Tanhuato",20.28,-102.33,"UMMZ 192292","-","Clyde Barbour","A. robustus, C. encaustus, G. atripinnis, M. aculeata, X. variata","5","A. robustus, C. encaustus, G. atripinnis, M. aculeata, X. variata","5","0",NA,"1969",NA,"nada","-",0,"–",NA,NA,"-","-",NA,NA,"No incluida en el conjunto final de 56","Not habitable","Lower Lerma","Tributary to Lerma River at Tanhuato"
"221",11,"11",2005,"rio Gde. de Santiago en Poncitlan","rio Gde. de Santiago","Rio Grande de Sgo. en Poncitlan",20.38,-102.93,"UMMZ 192285,6,8","-","Clyde Barbour","C. encaustus, G. atripinnis, M. consocia, M. charari, M. jordani, M. labarca, P. infans, Y. alta, Z. quitzeoensis","9","C. encaustus, G. atripinnis, M. consocia, M. charari, M. jordani, M. labarca, P. infans, Y. alta, Z. quitzeoensis","9","0",NA,"1969",NA,"nada","-",0,"–",NA,NA,"-","-",NA,NA,"No incluida en el conjunto final de 56","Not habitable","Grande de Santiago River","Grande de Santiago River at Poncitlan"
"241",12,"12",2005,"rio Cuarenta","rio Gde. de Santiago","Rio Cuarenta en Paso de Cuarenta",21.5,-101.76,"UMMZ 172200","UMMZ - RRM55-62 ","RR Miller","A. tincella, A . dugesii, G. atripinnis, H. calientis, M. arge, X. variata","6","A. tincella, A . dugesii, G. atripinnis, H. calientis, M. arge, X. variata","6","0",NA,"1957",1,"nada","0",0,"–","1",NA,"0","0",NA,NA,"No incluida en el conjunto final de 56. La consideré un outlier",NA,"Grande de Santiago River","Cuarenta River"
"25",12,"12",2005,"presa El Gigante","rio Gde. de Santiago","Presa El Gigante",22.03,-102.12,"UMMZ 189072","-","RR Miller et al","A. tincella, A. dugesii, G. atripinnis, H. calientis, M. jordani, X. variata, Y. alta","7","A. tincella, A. dugesii, G. atripinnis, H. calientis, M. jordani, X. variata, Y. alta","7","0",NA,"1968",NA,"encontrada seca","-",0,"–",NA,NA,"-","-",NA,NA,"No incluida en el conjunto final de 56","Not habitable","Grande de Santiago River","El Gigante Reservoir"
"261",12,"12",2005,"Los Vergeles","rio Gde. de Santiago","presa en Los Vergeles",21.77,-101.94,"UMMZ 189057","-","RR Miller et al","A. tincella, A. dugesii, G. atripinnis, H. calientis, Y. alta","5","A. tincella, A. dugesii, G. atripinnis, H. calientis, Y. alta","5","0",NA,"1968",NA,"nada","-",0,"–",NA,NA,"-","-",NA,NA,"No incluida en el conjunto final de 56",NA,"Grande de Santiago River","Los Vergeles"
