"","Short","Short2","Genus_species","Synonym","Update","Update_comment","Genus_species_ECF"
"1","-","",NA,"FALSE",NA,NA,"-"
"2","(?)","",NA,"FALSE",NA,NA,"(?)"
"3","?","",NA,"FALSE",NA,NA,"?"
"4"," A . dugesii","A   dugesii","Allotoca dugesii","FALSE",NA,NA,"Allotoca dugesii"
"5"," A. 'fasciatus'","A   fasciatus ","Astyanax fasciatus","FALSE","Astyanax mexicanus","Some taxonomic uncertainty with this record. Currently in the locality it is considered as A. mexicanus","Astyanax mexicanus"
"6"," A. aeneus","A  aeneus","Astyanax aeneus","FALSE",NA,NA,"Astyanax aeneus"
"7","A. aeneus","A  aeneus","Astyanax aeneus","FALSE",NA,NA,"Astyanax aeneus"
"8","A. aphanea","A  aphanea","Algansea aphanea","FALSE",NA,NA,"Algansea aphanea"
"9","A. balsana","A  balsana","Atherinella balsana","FALSE",NA,NA,"Atherinella balsana"
"10","A. catarinae","A  catarinae","Allotoca catarinae","FALSE",NA,NA,"Allotoca catarinae"
"11","A. diazi","A  diazi","Allotoca diazi","FALSE",NA,NA,"Allotoca diazi"
"12"," A. dugesii","A  dugesii","Allotoca dugesii","FALSE",NA,NA,"Allotoca dugesii"
"13","A. dugesii","A  dugesii","Allotoca dugesii","FALSE",NA,NA,"Allotoca dugesii"
"14","A. goslinei","A  goslinei","Allotoca goslinei","FALSE",NA,NA,"Allotoca goslinei"
"15"," A. hubbsi","A  hubbsi","Allodontichthys hubbsi","FALSE",NA,NA,"Allodontichthys hubbsi"
"16","A. hubbsi","A  hubbsi","Allodontichthys hubbsi","FALSE",NA,NA,"Allodontichthys hubbsi"
"17","A. maculata","A  maculata","Allotoca maculata","FALSE",NA,NA,"Allotoca maculata"
"18"," A. meeki","A  meeki","Allotoca meeki","FALSE",NA,NA,"Allotoca meeki"
"19","A. mexicanus","A  mexicanus","Astyanax mexicanus","FALSE",NA,NA,"Astyanax mexicanus"
"20"," A. monticola","A  monticola","A monticola","FALSE",NA,NA,"A monticola"
"21","A. monticola","A  monticola","A monticola","FALSE",NA,NA,"A monticola"
"22","A. nigrofasciatus","A  nigrofasciatus","Archocentrus nigrofasciatus","TRUE","Amatitlania nigrofasciata",NA,"Amatitlania nigrofasciata"
"23"," A. polylepis","A  polylepis","Allodontichthys polylepis","FALSE",NA,NA,"Allodontichthys polylepis"
"24","A. polylepis","A  polylepis","Allodontichthys polylepis","FALSE",NA,NA,"Allodontichthys polylepis"
"25","A. popoche","A  popoche","Algansea popoche","FALSE",NA,NA,"Algansea popoche"
"26"," A. robustus","A  robustus","Alloophorus robustus","FALSE",NA,NA,"Alloophorus robustus"
"27","A. robustus","A  robustus","Alloophorus robustus","FALSE",NA,NA,"Alloophorus robustus"
"28"," (A. robustus?","A  robustus ","Alloophorus robustus","FALSE",NA,NA,"Alloophorus robustus"
"29"," A. sallaei","A  sallaei","Aztecula sallaei","FALSE",NA,NA,"Aztecula sallaei"
"30","A. sallaei","A  sallaei","Aztecula sallaei","FALSE",NA,NA,"Aztecula sallaei"
"31","A. splendens","A  splendens","Ameca splendens","FALSE",NA,NA,"Ameca splendens"
"32"," A. tamazulae","A  tamazulae","Allodontichthys tamazulae","FALSE",NA,NA,"Allodontichthys tamazulae"
"33","A. tamazulae","A  tamazulae","Allodontichthys tamazulae","FALSE",NA,NA,"Allodontichthys tamazulae"
"34","  A. tincella","A  tincella","Algansea tincella","FALSE",NA,NA,"Algansea tincella"
"35"," A. tincella","A  tincella","Algansea tincella","FALSE",NA,NA,"Algansea tincella"
"36","A. tincella","A  tincella","Algansea tincella","FALSE",NA,NA,"Algansea tincella"
"37"," A. toweri","A  toweri","Ataeniobius toweri","FALSE",NA,NA,"Ataeniobius toweri"
