"Period","Modnames","K","AICc","Delta_AICc","BIC","Delta_BIC","LL"
"Historical Conservative","Power",3,90.0792558635673,0,95.1474043508365,0,-41.7669006590564
"Historical Conservative","Asympt",3,91.236167632858,1.15691176929067,96.3043161201271,1.15691176929067,-42.3453565437017
"Historical Conservative","Sigmoidal",4,92.8912188756022,2.81196301203485,99.4457903610942,4.29838601025776,-41.9804931587313
"Historical Conservative","Linear",3,94.2446812099095,4.16542534634215,99.3128296971786,4.16542534634215,-43.8496133322275
"Historical Broad","Asympt",3,120.744335783604,0,126.598798041699,0,-57.1578821775163
"Historical Broad","Power",3,121.220946683399,0.476610899795105,127.075408941494,0.476610899795105,-57.3961876274139
"Historical Broad","Sigmoidal",4,123.217531577523,2.47319579391866,130.867637099138,4.26883905743946,-57.245129425125
"Historical Broad","Linear",3,127.699985306742,6.9556495231375,133.554447564836,6.95564952313751,-60.6357069390851
"Contemporary Native","Asympt",3,60.8904247275201,0,64.552361205023,0,-27.0314192603118
"Contemporary Native","Power",3,61.8197046456222,0.929279918102026,65.4816411231251,0.929279918102026,-27.4960592193628
"Contemporary Native","Linear",3,63.5494981032837,2.65907337576354,67.2114345807866,2.65907337576354,-28.3609559481936
"Contemporary Native","Sigmoidal",4,63.5771028468933,2.6866781193732,68.1345616641878,3.5822004591648,-27.074265709161
"Contemporary Native + Introduced","Asympt",3,81.6100555939107,0,86.7521831549093,0,-37.5383611302887
"Contemporary Native + Introduced","Sigmoidal",4,82.6781856080264,1.06813001411572,89.336375891378,2.58419273646878,-36.8845473494678
"Contemporary Native + Introduced","Power",3,87.805330342939,6.1952747490283,92.9474579039376,6.1952747490283,-40.6359985048028
"Contemporary Native + Introduced","Linear",3,93.4439225568035,11.8338669628928,98.5860501178021,11.8338669628928,-43.4552946117351
