"Period","Modnames","K","AICc","Delta_AICc","BIC","Delta_BIC","LL"
"Historical Conservative","Asympt",3,102.401278354488,0,108.634403831708,0,-48.0101629867678
"Historical Conservative","Power",3,108.703830749737,6.30255239524924,114.936956226958,6.30255239524922,-51.1614391843924
"Historical Conservative","Sigmoidal",4,111.060694835639,8.65941648115064,119.23430402288,10.5999001911714,-51.207766772658
"Historical Conservative","Linear",3,133.227090466785,30.8258121122974,139.460215944006,30.8258121122974,-63.4230690429165
"Historical Broad","Asympt",3,126.712161460746,0,132.945286937966,0,-60.1656045398967
"Historical Broad","Power",3,129.681766998555,2.96960553780909,135.914892475775,2.96960553780909,-61.6504073088012
"Historical Broad","Sigmoidal",4,131.95414424606,5.24198278531392,140.127753433301,7.18246649533469,-61.6544914778685
"Historical Broad","Linear",3,144.56274895899,17.8505874982444,150.795874436211,17.8505874982444,-69.0908982890189
"Contemporary Native","Asympt",3,66.6563757707678,0,71.5708713888066,0,-30.0424735996696
"Contemporary Native","Power",3,70.1056939060111,3.44931813524327,75.0201895240498,3.44931813524327,-31.7671326672913
"Contemporary Native","Sigmoidal",4,70.5026008055601,3.84622503479231,76.841556635419,5.27068524661242,-30.7634955247313
"Contemporary Native","Linear",3,77.0363174160423,10.3799416452745,81.950813034081,10.3799416452745,-35.2324444223069
"Contemporary Native + Introduced","Asympt",3,83.8486896597547,0,89.2697694820437,0,-38.6794468706937
"Contemporary Native + Introduced","Sigmoidal",4,84.7005527540905,0.851863094335883,91.7483870749657,2.47861759292202,-37.9336097103786
"Contemporary Native + Introduced","Power",3,93.1815622999153,9.33287264016062,98.6026421222043,9.33287264016062,-43.345883190774
"Contemporary Native + Introduced","Linear",3,102.854052777111,19.0053631173567,108.2751325994,19.0053631173567,-48.182128429372
