"SpecCode";"Suporder";"Order";"Family";"Genus.species";"MBl";"BEl";"VEp";"REs";"OGp";"RMl";"BLs";"PFv";"PFs";"CPt";"Type.of.illustration";"Reference";"Genus"
NA;NA;NA;NA;"Algansea popoche";25;4,50226928895613;0,581063035804337;0,432089874693936;0,576903681290973;0,548200762600726;0,532191628845184;0,431544125063036;0,157251792114695;2,3008236453202;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Algansea"
NA;NA;NA;NA;"Allodontichthys tamazulae";7,3;3,35343881678472;0,451847475344271;0,464531320754717;0,301906882827666;0,0833690566037736;0,53767018783153;0,437846137864317;0,127575992255566;1,72077922077922;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Allodontichthys"
NA;NA;NA;NA;"Allotoca zacapuensis";5;3,33466135458167;0,513820717131474;0,466107617051013;0,553701195219124;0,206607906344161;0,530211155378486;0,334661354581673;0,163778972520908;2,47517945051016;"Drawing";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Allotoca"
NA;NA;NA;NA;"Atherinella balsana";6,5;5,01494410432624;0,495656160564607;0,69856428186197;0,611527382859895;0,347836194231091;0,49802258055553;0,620451240633886;0,218776692950614;NA;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Atherinella"
NA;NA;NA;NA;"Aztecula sallaei";8,8;3,31892212022505;0,583061889250814;0,309122143787405;0,443219425525614;0,406272645730821;0,467475273911756;0,359687296416938;0,193433261955746;1,4064841632224;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Aztecula"
NA;NA;NA;NA;"Characodon audax";4,8;2,55569976205927;0,532987237724421;0,420529801324503;0,543262816353018;0,158081362346263;0,45727882327493;0,389357560025957;0,150888870080406;1,32232954847903;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Characodon"
NA;NA;NA;NA;"Chirostoma charari";6,5;5,40849283069935;0,529562860135068;0,573117480676234;0,526059017976046;0,465666914323701;0,661282328654361;0,598700173683689;0,138585332502482;2,43934508767343;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Chirostoma"
NA;NA;NA;NA;"Chirostoma consocium";21,8;4,82665283018868;0,279128301886792;0,659858196783653;0,645049056603774;0,332637556725512;0,446539622641509;0,588090566037736;0,116418034139053;2,40744827586207;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Chirostoma"
NA;NA;NA;NA;"Chirostoma humboldtianum";25;5,17556155040745;0,504562847216663;0,669019455252918;0,552512767967212;0,424490272373541;0,514320936264229;0,59286995084933;0,148196210142736;2,31804894766551;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Chirostoma"
NA;NA;NA;NA;"Chirostoma jordani";9,1;3,91664520745859;0,409138098813554;0,551724137931034;0,455132184204035;0,289212510024058;0,422520512744059;0,514796011026871;0,230031898025977;2,68433399108584;"Picture";"Miller, R.R. (2009) Freshwater Fishes of Mexico (Peces Dulceacuicolas de Mexico). 1st edn.";"Chirostoma"
