"";"Short";"Short2";"Genus_species";"Update1";"Update2";"Source1";"Source2";"Final"
"1";"-";"";NA;NA;NA;NA;NA;NA
"2";"(?)";"";NA;NA;NA;NA;NA;NA
"3";"?";"";NA;NA;NA;NA;NA;NA
"4";" A . dugesii";"A   dugesii";"Allotoca dugesii";NA;NA;NA;NA;NA
"5";" A. 'fasciatus'";"A   fasciatus ";"Astyanax fasciatus";"Astyanax mexicanus";NA;"Miller (2005)";NA;NA
"6";" A. aeneus";"A  aeneus";"Astyanax aeneus";NA;NA;NA;NA;NA
"7";"A. aeneus";"A  aeneus";"Astyanax aeneus";NA;NA;NA;NA;NA
"8";"A. aphanea";"A  aphanea";"Algansea aphanea";NA;NA;NA;NA;NA
"9";"A. balsana";"A  balsana";"Atherinella balsana";NA;NA;NA;NA;NA
"10";"A. catarinae";"A  catarinae";"Allotoca catarinae";NA;NA;NA;NA;NA
"11";"A. diazi";"A  diazi";"Allotoca diazi";NA;NA;NA;NA;NA
"12";" A. dugesii";"A  dugesii";"Allotoca dugesii";NA;NA;NA;NA;NA
"13";"A. dugesii";"A  dugesii";"Allotoca dugesii";NA;NA;NA;NA;NA
"14";"A. goslinei";"A  goslinei";"Allotoca goslinei";NA;NA;NA;NA;NA
"15";" A. hubbsi";"A  hubbsi";"Allodontichthys hubbsi";NA;NA;NA;NA;NA
"16";"A. hubbsi";"A  hubbsi";"Allodontichthys hubbsi";NA;NA;NA;NA;NA
"17";"A. maculata";"A  maculata";"Allotoca maculata";NA;NA;NA;NA;NA
"18";" A. meeki";"A  meeki";"Allotoca meeki";NA;NA;NA;NA;NA
"19";"A. mexicanus";"A  mexicanus";"Astyanax mexicanus";NA;NA;NA;NA;NA
"20";" A. monticola";"A  monticola";"A monticola";NA;NA;NA;NA;NA
"21";"A. monticola";"A  monticola";"A monticola";NA;NA;NA;NA;NA
"22";"A. nigrofasciatus";"A  nigrofasciatus";"Archocentrus nigrofasciatus";"Amatitlania nigrofasciata";NA;"FishBase";NA;NA
"23";" A. polylepis";"A  polylepis";"Allodontichthys polylepis";NA;NA;NA;NA;NA
"24";"A. polylepis";"A  polylepis";"Allodontichthys polylepis";NA;NA;NA;NA;NA
